gene,spearman_rho,p_value,q_value
Gnmt,0.4101873905766812,1.9162005545587914e-181,3.788328496362731e-178
Hspa5,-0.3541664785769137,1.4827440678890047e-132,1.465692511108281e-129
Ces3a,-0.3481330953781422,7.574401673644564e-128,4.991530702931768e-125
Slco1b2,-0.3355093061383521,2.5120753351548495e-118,1.2415932344002843e-115
Neat1,-0.3352928960319736,3.6257618544642602e-118,1.4336262372551686e-115
Cp,-0.3292068586871161,9.746101027179067e-114,3.2113402884555026e-111
Malat1,-0.3247349408575263,1.51181977983156e-110,4.269811006752849e-108
Pzp,-0.3147899634014462,1.2119992024106758e-103,2.9951530289573824e-101
Rps2,0.3073169086040838,1.258919327498543e-98,2.765426122738466e-96
Wfdc21,0.3041488546583061,1.523476271281144e-96,3.011912588322822e-94
Mug1,-0.3031242699344256,7.094290585645985e-96,1.2750374988929192e-93
H2-K1,-0.30006336230582586,6.771712113394127e-94,1.1156395706816824e-91
Fgg,-0.297917739235125,1.6002899538510206e-92,2.4336717221257445e-90
Slc38a3,-0.29724035997515247,4.3189716389722836e-92,6.099004950177289e-90
Slc22a30,-0.2957142432117534,4.004498407208429e-91,5.2779289007007095e-89
G6pc,-0.28859819753932986,1.0829590517066465e-86,1.3381312782650252e-84
Ahsg,-0.28422974345372215,4.926340453590178e-84,5.729044162792813e-82
Cyp3a25,-0.2837316649415421,9.830053020142985e-84,1.0796674900457047e-81
Hsp90b1,-0.2835263805853783,1.306277597967504e-83,1.35921621641145e-81
Cyp2d13,-0.2832968883698386,1.7945375193410073e-83,1.7739003378685858e-81
Hsd3b7,-0.27813414386076246,2.0998352616784993e-80,1.9768449106373303e-78
Btg2,-0.2689729111354876,4.0358078300629397e-75,3.626723672742924e-73
Clu,-0.2678980751704832,1.6310959090402385e-74,1.40203330964024e-72
Apob,-0.26781486926902137,1.816844310904275e-74,1.4966255011073965e-72
Fgb,-0.2677580621082968,1.95562674232937e-74,1.5465096278340655e-72
Fga,-0.265582082109967,3.235671360092452e-73,2.4603547226549143e-71
Slc38a2,-0.26549938384727856,3.5979534433262243e-73,2.634501465724424e-71
Pisd-ps1,-0.26359491262064866,4.1015776279937326e-72,2.8960067751941463e-70
Cyp2d9,-0.26241290576456605,1.8388148906411898e-71,1.2535644961371145e-69
Rsrp1,-0.2613217716313943,7.295660936023794e-71,4.80784055683968e-69
Mlxipl,-0.2607789824287435,1.4445917681522312e-70,9.212767502054713e-69
Kng1,-0.2576008591176179,7.63440910954573e-69,4.7166333779912215e-67
Itih3,-0.25451794116094567,3.3984770797528946e-67,2.0359967232337798e-65
Itih4,-0.2540368413402407,6.11663226579485e-67,3.556641761610712e-65
Pdia6,-0.2535794682956912,1.0681855034081757e-66,6.03372211496561e-65
Jun,-0.2518241139124675,8.981708783006088e-66,4.9324550733341773e-64
Cyp2d26,-0.25049204930969954,4.469385271398587e-65,2.3881012652851368e-63
Slc27a2,-0.24703910842835244,2.737409952651809e-63,1.424173546419112e-61
Serpinf2,-0.24697969491413257,2.9366063828234236e-63,1.488633543292797e-61
Zfp36l1,-0.24677317463867726,3.7481726658505486e-63,1.8525343400966337e-61
Gstp2,0.24649748613684416,5.189569918605707e-63,2.5023852997764592e-61
Cyp2d37-ps,-0.24444340979997828,5.7866904694270265e-62,2.7238778709660075e-60
Zfp36,-0.2444072874086253,6.036148245881189e-62,2.775224437699328e-60
Fn1,-0.2443210038432022,6.676219926830859e-62,2.9997469989419567e-60
Slc27a5,-0.24362692454334578,1.4996864089039672e-61,6.588622289784763e-60
Mug2,-0.24354567852534934,1.6484238628490504e-61,7.084639080114288e-60
Apoa5,-0.24299660567931283,3.1204265296628637e-61,1.312570904073081e-59
Cyp2d10,-0.24088139965747615,3.5919942418160234e-60,1.4794526283479747e-58
Serpina7,-0.2403562199224323,6.564396080060162e-60,2.6485328674038655e-58
Igfbp1,-0.24023685445126877,7.527010820901411e-60,2.976180078584418e-58
Pabpn1,-0.24000878112097795,9.774184032422155e-60,3.788933692568353e-58
Col18a1,-0.23994740554540694,1.0485570349216574e-59,3.986533188538686e-58
Cyp2a5,-0.2392131695408384,2.4262052211599916e-59,9.050203249496797e-58
F12,-0.23858773789308496,4.946437061769976e-59,1.8109455687257858e-57
Gdf15,-0.2381437878750871,8.191094706309849e-59,2.94432622443174e-57
B430010I23Rik,-0.23743391139861642,1.8308777203074962e-58,6.463652237585572e-57
Fsd1l,-0.2372839883966429,2.1691293355273136e-58,7.523453853223682e-57
Plg,-0.23623362298871703,7.090279170904666e-58,2.4168072277376763e-56
Junb,-0.23595982910998972,9.64556008082296e-58,3.232080047421524e-56
Vtn,-0.23354617450667975,1.429616030376565e-56,4.710584820090782e-55
Slc1a2,-0.23277016186064323,3.379398798062302e-56,1.0952576104539625e-54
Ugt2b34,-0.23219163303124637,6.404474372012429e-56,2.042200940882028e-54
Dusp1,-0.23182850831299667,9.557885505002417e-56,2.999355498950758e-54
Psap,-0.23077461026590257,3.043032453032133e-55,9.367043331879844e-54
Ctsl,-0.23076368059496444,3.079705698392463e-55,9.367043331879844e-54
Srebf1,-0.22571368733686903,7.299939705784336e-53,2.1866637573235805e-51
Gstp1,0.22560628154939813,8.188420256998656e-53,2.4161950519531856e-51
Efna1,-0.2254873286289472,9.298506430897953e-53,2.703404002041949e-51
Gulo,-0.22433821080846403,3.1632996899495247e-52,9.063541285551029e-51
C3,-0.22432105564897045,3.2214833675058986e-52,9.098389453655945e-51
Cd36,-0.22412209730220434,3.979318127440608e-52,1.1080439349225468e-50
Rnr2,-0.223384245564854,8.69562837417656e-52,2.387674624409314e-50
Ugt2b5,-0.22328349877095272,9.672979046019514e-52,2.619654736161723e-50
Fabp2,0.22257640546932597,2.0398037450225458e-51,5.44958378906699e-50
Cfb,-0.2214616219756639,6.578944257614844e-51,1.734209706307273e-49
Apon,-0.2206264004805541,1.575274134149774e-50,4.097785477913294e-49
Cyp3a11,-0.22052003615312446,1.7600875397563438e-50,4.519081904023755e-49
Agt,-0.21941713782705252,5.541149922040932e-50,1.4044683840865284e-48
Lamp2,-0.21939202930889717,5.687312271401832e-50,1.4232678937419523e-48
Aplp2,-0.21911702351898668,7.56238088218422e-50,1.8688533755097756e-48
C4bp,-0.21899907060649734,8.544466296387439e-50,2.085482699747897e-48
Cyp4a14,-0.2183277782693513,1.7095227075003381e-49,4.1216175521075227e-48
Cyp1a2,-0.21777901958921753,3.0084176275010963e-49,7.16583331273454e-48
Rn45s,-0.21745541387622602,4.1953993297499334e-49,9.874171993947165e-48
P4hb,-0.21681696619475901,8.073199576665727e-49,1.8777312427138992e-47
Crp,-0.21667693186485723,9.316976107196354e-49,2.1418211353403712e-47
F2,-0.21663972035390755,9.678407213110805e-49,2.1993346046344896e-47
Ces2e,-0.2160026546439317,1.8548184303594284e-48,4.167018223659761e-47
Car3,0.2149157477814138,5.599955302569339e-48,1.2439451273235485e-46
Cd1d1,-0.2146655826530329,7.215441520829539e-48,1.5849919874088887e-46
Onecut2,-0.21434260043839873,1.0004060613972734e-47,2.173409652068582e-46
Acaa1b,0.21428095607369452,1.0647202263922623e-47,2.2879911821494594e-46
Calr,-0.21395423413708364,1.480849751682167e-47,3.147999955995316e-46
Alb,-0.21380057876246839,1.729061681105322e-47,3.6365478122821506e-46
Pnisr,-0.21366209393963217,1.9880185447477732e-47,4.137171224175103e-46
Aadac,-0.21335231024679885,2.7154853850495074e-47,5.592202714836329e-46
Gclc,-0.21281170643726893,4.673802666797547e-47,9.525884404390463e-46
Snrnp70,-0.21196347978470917,1.0923871966892553e-46,2.2037239671986302e-45
Cyp2d22,-0.21190140864471388,1.1622375576475902e-46,2.320953183302309e-45
Ambp,-0.2118710281345049,1.1980277086486912e-46,2.3685007799984623e-45
F5,-0.21182270851034138,1.2572232154512075e-46,2.4609210860861754e-45
C4b,-0.2116884557547298,1.4374108464155354e-46,2.7860404346701114e-45
BC005561,-0.2116262884568508,1.5293362613101908e-46,2.9354347462235414e-45
